,Name,Latitude,Longitude,rating,address,photoreference
14,Apotik Siteba Indah,-0.8971557999999998,100.3673788,0.0,"Jl. Raya Siteba No.18, Surau Gadang, Kec. Nanggalo, Kota Padang, Sumatera Barat 25173, Indonesia",NULL
15,Apotik Pasa Tarandam,-0.9507652999999999,100.3688145,5.0,"Jl. Ksatria No.1A, pasar terandam, Kec. Padang Tim., Kota Padang, Sumatera Barat 25133, Indonesia",ATtYBwLFrxHnhGwYpHkqEbDnJU18LArfbraIgy97XfRcU9EkB8APyj0_2FLu4adiZGTeijzLhd2bOyUA_Ax6XPGw_vIjx3GMjxY8spr1DjvBJIUfLrcxaFo0caHGM5E6bZY9eunnwc3r0eMIvh6faj5cibPXyZLGfa2bNjpFTj1GxSW0DOcw
16,APOTEK NAUFAL,-0.9377345,100.3878779,5.0,"Jl. Andalas, Andalas, Kec. Padang Tim., Kota Padang, Sumatera Barat 25171, Indonesia",NULL
17,Apotik De Dua Jaya Farma,-0.9518434000000001,100.3688149,0.0,"Jl. Kesatria No.2, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25133, Indonesia",NULL
18,Apotek Ranai,-0.9605366000000001,100.362813,4.3,"Jl. Niaga, Belakang Pd., Kec. Padang Sel., Kota Padang, Sumatera Barat 25134, Indonesia",ATtYBwK-5P0lBatsvEk00EN-m5B8q1GuAIQi-tMgazbjPw_M-holSozPWCM7uj6Rg-ZNQe--BRB-j_vRsrc6OmIb57r-AxYKK8dE6ZsNc9AwVoqBwjYLdtMwzoyqC15IANYDdjBSBiNJlqdtjBAu2vL7ugnNgeuri7DV7-E4K0MOTvLNyjR4
19,Apotik Ayah Bunda,-0.9505150000000001,100.3698582,5.0,"Jl. Ksatria No.6a, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25133, Indonesia",NULL
20,A Yani Apotik,-0.9426266000000001,100.3567427,0.0,"Jl. Jend. A Yani No.48, Padang Pasir, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
21,Apotik Utama,-0.9432265,100.3570539,4.0,"Jl. Jend. A Yani No.35, Kp. Jao, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
22,Apotik Sakinah,-0.9454293,100.3592989,4.3,"Jl. Ratulangi No.24, Kp. Jao, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
23,Apotik Minang Patimura,-0.9456382,100.3578064,5.0,"Jl. Blk. Olo No.36, Kp. Jao, Kec. Padang Bar., Kota Padang, Sumatera Barat 25129, Indonesia",NULL
24,Apotik Budi Mulya,-0.8981901,100.4221113,1.7,"Jl. Markisa Raya No.67, Kuranji, Kec. Kuranji, Kota Padang, Sumatera Barat 25173, Indonesia",NULL
25,Dupa Usada Apotik,-0.9447386,100.3706426,0.0,"JL. KH Agus Salim 13, Padang, 25121, Sawahan Timur, Padang Timur, Padang City, West Sumatra 25171, Indonesia",NULL
26,Apotik Kembang Saiyo Farma,-0.9481434,100.4365443,4.3,"Jl. Sungai Balang, simpang 4, Bandar Buat, Kec. Lubuk Kilangan, Kota Padang, Sumatera Barat 25157, Indonesia",ATtYBwKG2CPqeCjRDVU1HXK-PXf9ANIlmlAJQqB2p5zF0Zf20KBspIcOBRnrZzPDXHKqdbV-zotFM8E6VahEJbeiFyIZaT-JE3x6Q2dV_rVoGLggAii5qdC8w3OXWy5548DWHtnDJ70-dqpEkrwVKzxO0AYew_zs-jCr5ILGwGaMwQPhVXLc
27,Apotik Amalda Sari,-0.9302779999999999,100.352703,0.0,"Jl. Raden Saleh No.53, Rimbo Kaluang, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
28,Apotek Medika (Ulang Karang),-0.9048835999999999,100.3509203,0.0,"Jl. S. Parman No.13, Ulak Karang Utara, Kec. Padang Utara, Kota Padang, Sumatera Barat, Indonesia",NULL
29,Apotik dhea sari,-0.9546546,100.3617375,5.0,"Jl. Imam Bonjol, Belakang Pd., Kec. Padang Sel., Kota Padang, Sumatera Barat 25134, Indonesia",ATtYBwKjfd0MX2cwYd56S493FydUGwRQwoYIDV3P8gJKCKTKTq6BAZ-HwGOOdEiXy4vCGoWXZ3aBrSlxdyDkapMf1pjWAq52qNuBEPSB2dOI8F6tl0etjkuSBhhc3wuImRVwX3bFwQuvE7iCEJGEAvliI0_48k5Y7LcferXYdVw8_lQXM7Gr
30,Apotik Puti Bungsu,-0.9478605,100.3736767,3.3,"Jl. Sisingamangaraja No.20, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25171, Indonesia",ATtYBwIq7jqXTYJ8gbKNR8bdmOkwp1RtJgGviIZeUbV1Ricf3_jdJhg4pIFetwEUBP_dYcs5e1cbV0z4Z5ZSUiVqYvKsG_OHlONPR4krPx255KyfdSSQu57wljBI0U8LPEfHyXwWZaFTnu8B7YuFnf7EAfkLCoYWkeYXA_aFDDYPoRYuZN87
31,Apotik Fajar Baru,-0.951475,100.360968,0.0,"Jl. Moh. Yamin No.20, Belakang Pd., Kec. Padang Sel., Kota Padang, Sumatera Barat, Indonesia",NULL
32,Apotik Ideal Baru,-0.9511628000000001,100.3688075,4.0,"Jl. Ksatria, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25133, Indonesia",NULL
33,Dunia Sehat 1 Apotik,-0.9506070999999999,100.37009,5.0,"Jl. Proklamasi No.20, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25133, Indonesia",NULL
34,Apotek Simpang Haru,-0.9469251999999999,100.3802736,4.6,"Jl. Dr. Sutomo No.49, Simpang Haru, Kec. Padang Tim., Kota Padang, Sumatera Barat 25171, Indonesia",ATtYBwLKFmSVU2303HnvNkXsIMlUcRpe7JxmjNue1ObOUhaTuwSJLOdXccXumUhUjxMU9_5cGUT_1SlUAmumZhPr-DnChpR9EPWXN3hnkf3Q-tI7TgMqVaFxdERzamMgNb7pSarkZ8iOO57Woj85_O5KiwyuVf6pChrEKNv4zf1iV4OAqm3O
35,Apotik Salsabila,-0.9513338,100.3686737,0.0,"Jl. Ksatria No.6a, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25133, Indonesia",ATtYBwK0qcdv-bmxbnAvAd0JHUCy9uwvW3eokH6b49nwbm-PSaCOuspyS-ljFQ3JhSPsQfCnN4z9UiMkj6z_tTfi2_qC9-e5iqqyAk4mlc1eCCXsd2OxYztvtcydI2LhTocKsvoRHWhdGJfJh-bA0MWKGs-CXYbz5NMEHgN2SR34zNTvQZM6
36,Apotik Ratu Langi,-0.9456760999999999,100.3609789,5.0,"Jl. Ratulangi No.12, Kp. Jao, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
37,Apotik Al Azhar Dua,-0.9437700000000001,100.356949,0.0,"Jl. Patimura No.11, Kp. Jao, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
38,Apotik Berkah,-0.9526399000000001,100.3614847,5.0,"Jl. Imam Bonjol komplek matahari lama, Belakang Pd., Kec. Padang Sel., Kota Padang, Sumatera Barat 25134, Indonesia",ATtYBwLWvBvuvZdz4KVyYBRApFhw2xnMMCvoJcRzbKme0kMa5_BvVpK62ArgKpF9A1nabIuUjulJF893TkrY963K6X5Ag26rIbZuwsXwXwXJsWTLnqk1BtLydFw1GR01cWBnjEoEpXkHDnnD47FKK5tSHAYuNlkaIjminJfibQEFFFvLsP3a
39,Apotik Satwika,-0.933797,100.417099,0.0,"Jl Batang Marao, No. 9, Padang Baru Timur Padang Utara, 25138, Binuang Kp. Dalam, Padang, Kota Padang, Sumatera Barat 25173, Indonesia",NULL
40,Apotik Tarandam,-0.9513311,100.368662,4.6,"Ganting Parak Gadang, Padang Timur, Padang City, West Sumatra 25171, Indonesia",ATtYBwINI4glPhJ-pXTw-RxkthG33Tbz9HQkZ9iu5VwzdXIzECd2cNgX9flHMNBc9QqJled9y1bLMgq4MviACXdxi2nPO9WYfNrg5XrjVc7EBEiXgjVCReiu8lWXYqWksupQd19MYAGrDctQRp-5RwDKHWn6jjwKQsdvsLnZJbcAoTwbStfS
41,Apotik Minang,-0.9455771,100.3574697,3.4,"Jl. Blk. Olo No.36 A, Kp. Jao, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
42,Apotek Raissa,-0.9574473,100.376409,3.0,"Jl. Sutan Syahrir No.62, Mata Air, Kec. Padang Sel., Kota Padang, Sumatera Barat 25214, Indonesia",ATtYBwLXaUZGx35nJarIo60Op8NnM2YMibOLKAcTI5dDLXFgjJUWGHAQWab3ZesmAjyhFXRyWRGp4PHGk6UH9TgKHD9TMCxfXvmQdscV2HGtKVt-R-gToqB2AeKOs5oij_JIxt1oTP2h582LxBLL-uDTqp5N9ZP--X5V4cCNtreRdDehlXup
43,Apotek tesa farma,-0.9521414,100.3697459,5.0,"Jl. Ksatria no 1petak 11 tarandam, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25133, Indonesia",ATtYBwLUizX3i6UrzoBwYW6GelRgmQ23If6IQ2CJb7OY2jQcpyK8A_5oZzGIT7GZ7jgfqkVtXJZLJuOSNByUcdqr8Zz5g8nYouZde6aBccEmOSnoznis2onmKCfjDyQ8lRebXVGw-vrR_y7P6IHyoLK40FyWh8h_-Ka5dndKTgjens5LUCAu
44,Apotik Prabu Siliwangi,-0.8319129,100.3279925,0.0,"Lubuk Buaya, Koto Tangah, Padang City, West Sumatra 25586, Indonesia",NULL
45,Apotik Sherly,-0.947184,100.371571,4.0,"Jl. Dr. Wahidin No.3, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25171, Indonesia",NULL
46,Apotik Indah,-0.9138907000000001,100.374538,0.0,"JL Teknologi Steba No.52, Tabing Banda Gadang, Kec. Nanggalo, Kota Padang, Sumatera Barat 25172, Indonesia",NULL
47,Apotik Riri,-0.951958,100.369589,0.0,"JL. Ksatria, Pt.32, Padang, Ganting Parak Gadang, Padang Timur, Padang City, West Sumatra 25133, Indonesia",NULL
48,Apotik Syuhada,-0.9231843999999999,100.3779275,5.0,"JL Simpang Alai No.1A, Ampang, Kec. Kuranji, Kota Padang, Sumatera Barat 25173, Indonesia",NULL
49,Apotik Vera Tunggal,-0.9504444,100.3597361,0.0,"Jl. Pasar Raya No.3, Kp. Jao, Kec. Padang Bar., Kota Padang, Sumatera Barat 25112, Indonesia",NULL
