,Name,Latitude,Longitude,rating,address,photoreference
13,Puskesmas Pemancungan,-0.9608492999999999,100.3724741,3.4,"Jl. Pemancungan I Kel Pemancungan Kec Padang Selatan Kota Padang Sumbar, Pasa Gadang, Padang Selatan, Padang City, West Sumatra 25136, Indonesia",ATtYBwIQDcGNyMOTKcPmNKeZZ10-Z5DpRZvQSTw7e7FIv9m3SzQrXHXuSMcrw9KqnBDqjSN3TUppyJp80orYrV72UoJ_ltuF-H4l7MqwCjMVDaEE5nK4ydkciDESrKP1ZJLC7sxJNGZT3kxwfD_u4AlYywdHBg5_srGEd__hIzMhyA0_o46a
14,Puskesmas Seberang Padang,-0.9529630000000001,100.3719521,2.3,"Jalan Seberang Padang Utara I, Padang, Sumatera Barat, Indonesia",NULL
15,Puskesmas Pembantu Tabing,-0.8780171999999999,100.3480701,5.0,"Depan Asrama Haji,, Parupuk Tabing, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia",NULL
16,Puskesmas Belimbing,-0.8999423999999999,100.4127636,4.3,"Jl. Jeruk 3 No.39, Kuranji, Kec. Kuranji, Kota Padang, Sumatera Barat 25173, Indonesia",ATtYBwKlobg5hdOAJKPy0hSHckgsKZ3iEiOJXxc9_FxSjdIMniBp385PgOVvZL8mMRk9-atxsuOABIUykqIAWqW7LsZrpIMNGcWadv4t0CdiFpUN5LDoPJWPrzf5G5D8gdAMuOe_Px6L9D3qzl0u6CB1gtGkRwaXlqbsDKZXG-Nfrq1TqANg
17,Puskesmas Pembantu Pauh,-0.9210745,100.4651806,5.0,"Jl. Limau Manis, Limau Manis, Kec. Pauh, Kota Padang, Sumatera Barat 25176, Indonesia",NULL
18,PUSKESMAS SITEBA,-0.8935852999999999,100.3670289,4.5,"jl. tanah datar siteba nanggalo, Surau Gadang, Kec. Nanggalo, Kota Padang, Sumatera Barat 25173, Indonesia",NULL
19,Puskesmas Lubuk Kilangan,-0.9495353,100.4452099,5.0,"Bandar Buat, Lubuk Kilangan, Padang City, West Sumatra 25157, Indonesia",NULL
20,Puskesmas Pembantu Rimbo Kaluang,-0.9303439999999998,100.3524792,0.0,"Jl. Ir. H. Juanda No.7, Rimbo Kaluang, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
21,Puskesmas Pembantu Batang Kabung,-0.8556130000000001,100.3409065,0.0,"Jln Pustu Batang Kabung RT 05 RW 02 Kel, Batang Kabung Ganting, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia",NULL
22,Puskesmas Bungus,-1.0378274,100.410763,5.0,"Bungus Teluk Kabung Kel, South Bungus, Bungus Teluk Kabung, Padang City, West Sumatra 25237, Indonesia",ATtYBwJlUvgwy5vvxJskT4Le566XSK2DpVvenp7XlsbFmXmiEJtGm-p7VRujmYzf6G7rHox69vJmf1OFVd_WS3M7vbRXgjk9nvirIoq8_-BD4DL2DZuM189HV7tNBgbNq68DoUvEyoWBk-fpotibJHkIZw_mlGynmUztk3q5Alw5x-B1cvaw
